,video_id,channelTitle,course,video_type,episode_title,episode_num,episode_title_len,tag_Count,publishedDate,publishedTime,days_published_for,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,with_Arizona
1362,o69TvQqyGdg,CrashCourse,US History,regular course,When is Thanksgiving? Colonizing America,2.0,41,32.0,2013-02-07,22:37:39,3790,5285941.0,42992.0,,3738.0,746.0,hd,True,False
1363,uVFCOfSuPTo,CrashCourse,Preview,preview,Crash Course Chemistry !,,24,10.0,2013-02-04,22:50:13,3793,909389.0,12905.0,,1703.0,111.0,hd,True,False
1364,6E9WU9TGrec,CrashCourse,US History,regular course,"The Black Legend, Native Americans, and Spaniards",1.0,50,36.0,2013-01-31,22:27:10,3797,9761597.0,75475.0,,9019.0,680.0,hd,True,False
1365,B-cVv9O0C9U,CrashCourse,outtakes,outtakes,Biology & Ecology Outtakes,,26,10.0,2013-01-28,22:30:15,3800,158527.0,2922.0,,342.0,250.0,hd,True,False
1366,R4WwhOdk_Eg,CrashCourse,English Literature,regular course,Before I Got My Eye Put Out - The Poetry of Emily Dickinson,8.0,60,27.0,2013-01-24,21:00:52,3804,1597014.0,28983.0,,2881.0,611.0,hd,True,False
1367,Kaeyr5-O2eU,CrashCourse,Ecology,regular course,Conservation and Restoration Ecology,12.0,37,32.0,2013-01-22,00:07:28,3806,508711.0,7247.0,,622.0,613.0,hd,True,False
1368,LI1CusL7Ceo,CrashCourse,English Literature,regular course,"Holden, JD, and the Red Cap - The Catcher in the Rye Part 2",7.0,60,25.0,2013-01-18,01:09:12,3810,1248765.0,22607.0,,2128.0,501.0,hd,True,False
1369,kdDSRRCKMiI,CrashCourse,Ecology,regular course,Pollution,11.0,10,42.0,2013-01-14,23:07:47,3814,666965.0,7634.0,,487.0,562.0,hd,True,False
1370,R66eQLLOins,CrashCourse,English Literature,regular course,"Language, Voice, and Holden Caulfield - The Catcher in the Rye Part 1",6.0,69,22.0,2013-01-10,23:09:48,3818,2049730.0,35706.0,,3417.0,652.0,hd,True,False
1371,5eTCZ9L834s,CrashCourse,Ecology,regular course,5 Human Impacts on the Environment,10.0,35,31.0,2013-01-08,01:14:55,3820,2227408.0,17473.0,,1704.0,638.0,hd,True,False
1372,leHy-Y_8nRs,CrashCourse,Ecology,regular course,Nitrogen & Phosphorus Cycles Always Recycle! Part 2 -,9.0,54,22.0,2013-01-01,02:01:03,3827,1528806.0,15334.0,,703.0,562.0,hd,True,False
1373,DjhXn7MdkFk,CrashCourse,outtakes,outtakes,World History Outtakes #3,,25,6.0,2012-12-27,20:30:17,3832,301244.0,5663.0,,752.0,272.0,hd,True,False
